Timestamp,"How would you rate Zaro's baked goods (bagels, muffins croissants, scones, cookies, brownies, blondies):","Overall, how would you rate Zaro's coffee?","Zaro’s is a local, family-owned business with four generations of history. Would this influence your decision to purchase their coffee and food on campus?","If Zaro’s had a location on campus, how likely would you be to visit?",Any additional comments or suggestions about Zaro’s coffee and food?
3/13/2025 11:16:01,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,"Consider the value of a meal swipe so it feels worthwhile. Also more breakfast options if possible / worth the money/swipe breakfast options. Also, please wrap bagels and sandwiches paper in, aluminum foil out. Please, don’t be like piccola Italia. Another idea, do more of these free events to get people to sample new things so that they then feel better about buying it later (I don’t like spending a lot of money to try new things all the time, we’re college students)"
3/13/2025 11:16:04,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:16:26,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:21:00,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:21:05,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:21:21,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:21:52,Very Good,Very Good,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:22:46,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Please come to campus ☀️
3/13/2025 11:25:00,Good,Excellent,"Somewhat, but it’s not a major factor",4,
3/13/2025 11:28:40,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,PLEASE PLEASE PLEASE 
3/13/2025 11:29:28,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",3,
3/13/2025 11:29:32,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Great food and very friendly staff overall super happy with it!
3/13/2025 11:29:38,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,PLEASE COME TO CAMPUS
3/13/2025 11:29:49,Very Good,I did not try any.,"Somewhat, but it’s not a major factor",3,
3/13/2025 11:30:01,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:30:02,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,please come to campus!!!
3/13/2025 11:30:02,Very Good,Very Good,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:30:20,Good,Excellent,"Yes, I prefer supporting family-owned businesses",4,"Delish coffee!! Also I love the people working there, so friendly!"
3/13/2025 11:30:25,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:31:03,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,The chocolate chip cookie is delicious!! The everything bagel is very yummy too but I prefer more everything mix on it and an ever so slightly fluffier bagel. Suggestion to offer iced tea if in a on campus store would be nice too! 
3/13/2025 11:31:09,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Thank you!!
3/13/2025 11:31:23,Excellent,Very Good,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:31:42,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:32:10,Excellent,Excellent,,4,Something new and very nice that is family business! 
3/13/2025 11:32:12,Very Good,Good,"Yes, I prefer supporting family-owned businesses",3,
3/13/2025 11:32:32,Very Good,I did not try any.,"Somewhat, but it’s not a major factor",4,
3/13/2025 11:33:11,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:33:24,Very Good,Very Good,"Yes, I prefer supporting family-owned businesses",4,"Very good, Ty "
3/13/2025 11:34:24,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Excenlent Crosant🤗
3/13/2025 11:36:28,Very Good,Very Good,"Yes, I prefer supporting family-owned businesses",3,No
3/13/2025 11:36:39,Very Good,Very Good,"Yes, I prefer supporting family-owned businesses",2,
3/13/2025 11:36:40,Very Good,Excellent,"Yes, I prefer supporting family-owned businesses",4,I love their food I always get it on my way home and it’s always delicious 
3/13/2025 11:36:56,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:37:35,Very Good,Very Good,"Somewhat, but it’s not a major factor",4,
3/13/2025 11:37:52,Very Good,Good,"Somewhat, but it’s not a major factor",4,"got the coffee black and it’s pretty standard, but better than current on campus coffee options, especially if we would be able to use swipes for it. Bagel is also pretty standard but good. Spinach and cheese croissant is fantastic."
3/13/2025 11:38:26,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:42:05,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:42:31,Very Good,I did not try any.,"Somewhat, but it’s not a major factor",4,
3/13/2025 11:42:54,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:43:00,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,super sweet
3/13/2025 11:43:16,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:43:52,Very Good,Very Good,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:43:54,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:44:02,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:44:33,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Really hope this place comes to campus. Great people and food! 
3/13/2025 11:46:36,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,Excellent 
3/13/2025 11:49:01,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:49:25,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,I'd really love if I could visit a Zaros on campus!
3/13/2025 11:50:58,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Exexcelent 
3/13/2025 11:51:02,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:52:00,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:52:06,Good,Good,"Somewhat, but it’s not a major factor",4,more options for bagels and toppings would be very cool. also getting a bagel and coffee for a meal swipe would be a godsend here 
3/13/2025 11:52:20,Excellent,Very Good,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:52:26,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:53:23,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,I would like to see them 
3/13/2025 11:54:27,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Great pastries
3/13/2025 11:54:42,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",3,
3/13/2025 11:55:20,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",3,
3/13/2025 11:55:22,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,Service was great. Food was also good
3/13/2025 11:57:40,Good,I did not try any.,"Somewhat, but it’s not a major factor",4,
3/13/2025 11:58:21,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,"Zaro’s coffee and food are excellent, campus will greatly benefit from having more options around and this is a top contender"
3/13/2025 11:58:49,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:58:59,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:59:04,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:59:15,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 11:59:26,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:00:12,Very Good,I did not try any.,"No, it doesn’t impact my decision",4,
3/13/2025 12:01:05,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:01:10,Excellent,Excellent,"No, it doesn’t impact my decision",1,
3/13/2025 12:01:16,Excellent,Very Good,"Yes, I prefer supporting family-owned businesses",4,Incredible service :)
3/13/2025 12:01:27,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Mnizam@stevens.edu
3/13/2025 12:01:46,Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:02:23,Excellent,Good,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:03:00,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",3,Pls add lox bagel on campus
3/13/2025 12:03:59,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,I think a bakery/bagel shop on campus is a great idea and would be well received! I personally would go in the morning if it was available. 
3/13/2025 12:04:10,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",3,
3/13/2025 12:04:12,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,It would be good to have more food options on campus and this seems like a good option. 
3/13/2025 12:05:21,Excellent,Very Good,"Somewhat, but it’s not a major factor",4,The bakery goods were amazing especially the black and white cookies will love to have more someday on campus. and ofcourse the coffee and bagels were the perfect breakfast 
3/13/2025 12:06:17,Very Good,Very Good,"Yes, I prefer supporting family-owned businesses",4,Don’t let Stevens try and bring down your food’s quality—stay strong!
3/13/2025 12:07:58,Fair,I did not try any.,"Yes, I prefer supporting family-owned businesses",4," Black and White Cookie Review: Cookie base is good, maybe a bit of more butter taste to it. It is also a bit dry, but that is to be expected from a prepackaged cookie. Biggest complaint is a lack of chocolate flavor from the chocolate side, as it is hard to taste the difference between the sides. The raspberry rugelach is fantastic, it’s not too sweet thankfully. Only criticism is that it isn’t flakey but that is to be expected. "
3/13/2025 12:09:30,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",3,
3/13/2025 12:09:33,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Very good bagels
3/13/2025 12:10:35,Very Good,Very Good,"Yes, I prefer supporting family-owned businesses",4,"Cookie needs to be more gooey in the inside and have a crispy crust on the outside. The coffee was smooth which I like, but it does need to have a bit more flavor to it."
3/13/2025 12:11:20,Excellent,Very Good,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:12:28,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:13:29,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,That cookie was gas 🔥🔥
3/13/2025 12:13:32,Very Good,Very Good,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:13:46,Very Good,Excellent,"Yes, I prefer supporting family-owned businesses",3,You guys are so nice!
3/13/2025 12:13:57,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:13:59,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:15:25,Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:16:08,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",3,
3/13/2025 12:16:12,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,Really good bagels
3/13/2025 12:16:28,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",3,
3/13/2025 12:16:53,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:16:54,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Awesome!
3/13/2025 12:17:11,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,"If you guys come to Hoboken, Stevens Students use Grubhub for off campus locations and if you move here you definitely should be on grubhub!"
3/13/2025 12:17:34,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:17:55,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Super fun pop pop! Very delicious
3/13/2025 12:18:28,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:18:59,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,SCRUMPTIOUS. Please offer some chai/tea if y’all come to Hoboken!
3/13/2025 12:21:02,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:21:15,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:22:15,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:23:50,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,They're super nice
3/13/2025 12:24:35,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,please come to our campus!
3/13/2025 12:24:58,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,My parents own a small local family business and I would be 100% willing to support!!!
3/13/2025 12:25:08,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,I would really love to have access to a family owned bakery with great coffee options on campus!
3/13/2025 12:25:19,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,The people were very kind
3/13/2025 12:25:47,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Everything was wonderful!
3/13/2025 12:26:09,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,N/A
3/13/2025 12:26:26,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:26:31,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:27:22,Excellent,Excellent,,4,
3/13/2025 12:28:45,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,Great cookies and very friendly people
3/13/2025 12:28:49,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:29:15,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:29:39,Very Good,Very Good,"Yes, I prefer supporting family-owned businesses",2,
3/13/2025 12:30:10,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:36:39,Excellent,Very Good,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:37:06,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:37:51,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,Amazing people!
3/13/2025 12:38:18,Excellent,Excellent,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 12:38:18,Very Good,Good,"Yes, I prefer supporting family-owned businesses",3,
3/13/2025 12:38:22,Very Good,I did not try any.,"No, it doesn’t impact my decision",4,i hate the food here please come
3/13/2025 12:39:24,Excellent,Very Good,"Yes, I prefer supporting family-owned businesses",4,Very nice people. Delicious too
3/13/2025 12:40:40,Excellent,I did not try any.,"Somewhat, but it’s not a major factor",4,I think this would be a perfect replacement for Cannon Cafe!
3/13/2025 12:42:16,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",3,
3/13/2025 12:48:52,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 13:05:42,Excellent,Very Good,"Yes, I prefer supporting family-owned businesses",4,Interested in flavored lattes!
3/13/2025 13:40:46,Very Good,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 13:43:56,Excellent,I did not try any.,"Yes, I prefer supporting family-owned businesses",4,
3/13/2025 13:47:48,Very Good,Good,"Yes, I prefer supporting family-owned businesses",3,"I liked their wider selection of food, especially their feta and spinach pastry. If they offer both sweet and savory food options on campus, I’d be likely to order from them a few times a week."
3/13/2025 13:57:22,,Excellent,"Yes, I prefer supporting family-owned businesses",4,
